"","Num","QText","Sender","Recipient","Attribute","Subject","TP"
"1",705,"Is it acceptable for the student's classmates to share the student's record of attendance with the university librarian if the student is performing poorly?","classmates","librarian","attendance","student",2
"2",706,"Is it acceptable for the registrar to share the student's address with the student's academic advisor if the registrar asked for the student's permission?","registrar","advisor","address","student",5
"3",707,"Is it acceptable for the student's classmates to share the student's record of attendance with the student's parents if the student is performing poorly?","classmates","parents","attendance","student",2
"4",708,"Is it acceptable for the student's academic advisor to share the student's record of attendance with the registrar if the student is performing poorly?","advisor","registrar","attendance","student",2
"5",709,"Is it acceptable for the student's TA to share the student's record of attendance with the university librarian if the student is performing poorly?","TA","librarian","attendance","student",2
"6",710,"Is it acceptable for the student's classmates to share the student's name with the registrar if the student's classmates let the student know?","classmates","registrar","name","student",4
"7",711,"Is it acceptable for the student's classmates to share the student's contents posted on online learning systems with the registrar if requested by the registrar?","classmates","registrar","contents_online","student",3
"8",712,"Is it acceptable for the university IT staff to share the student's contents posted on online learning systems with the student's academic advisor if the university IT staff let the student know?","IT_staff","advisor","contents_online","student",4
"9",713,"Is it acceptable for the university IT staff to share the student's name with graduate schools if the student is performing poorly?","IT_staff","graduate_schools","name","student",2
"10",714,"Is it acceptable for the student's classmates to share the student's contents posted on online learning systems with graduate schools if requested by graduate schools?","classmates","graduate_schools","contents_online","student",3
"11",715,"Is it acceptable for the student's professor to share the student's contents posted on online learning systems with the student's parents with the requirement of confidentiality?","professor","parents","contents_online","student",1
"12",716,"Is it acceptable for the student's academic advisor to share the student's email address with graduate schools with the requirement of confidentiality?","advisor","graduate_schools","email","student",1
"13",717,"Is it acceptable for the student's professor to share the student's term papers with the department chair if the student is performing poorly?","professor","department_chair","term_papers","student",2
"14",718,"Is it acceptable for the university IT staff to share the student's photo with the student's professor if the student is performing poorly?","IT_staff","professor","photo","student",2
"15",719,"Is it acceptable for the student's TA to share the student's record of attendance with the university IT staff if requested by the university IT staff?","TA","IT_staff","attendance","student",3
"16",720,"Is it acceptable for the student's academic advisor to share the student's transcript with the student's TA if the student's academic advisor let the student know?","advisor","TA","transcript","student",4
"17",721,"Is it acceptable for the student's classmates to share the student's grades with the student's TA if the student is performing poorly?","classmates","TA","grades","student",2
"18",722,"Is it acceptable for the student's classmates to share the student's name with the student's parents if the student is performing poorly?","classmates","parents","name","student",2
"19",723,"Is it acceptable for the registrar to share the student's transcript with the student's classmates if requested by the student's classmates?","registrar","classmates","transcript","student",3
"20",724,"Is it acceptable for the student's classmates to share the student's record of attendance with graduate schools with the requirement of confidentiality?","classmates","graduate_schools","attendance","student",1
"21",725,"Is it acceptable for the student's academic advisor to share the student's name with the student's parents with the requirement of confidentiality?","advisor","parents","name","student",1
"22",726,"Is it acceptable for the student's professor to share the student's transcript with the university librarian with the requirement of confidentiality?","professor","librarian","transcript","student",1
"23",727,"Is it acceptable for the university IT staff to share the student's contents posted on online learning systems with the university librarian if the student is performing poorly?","IT_staff","librarian","contents_online","student",2
"24",728,"Is it acceptable for the student's professor to share the student's email address with the student's TA with the requirement of confidentiality?","professor","TA","email","student",1
"25",729,"Is it acceptable for the student's professor to share the student's photo with the registrar if the student's professor asked for the student's permission?","professor","registrar","photo","student",5
"26",730,"Is it acceptable for the student's TA to share the student's email address with the student's classmates if the student is performing poorly?","TA","classmates","email","student",2
"27",731,"Is it acceptable for the student's TA to share the student's level of participation in class with the university IT staff if the student is performing poorly?","TA","IT_staff","participation","student",2
"28",732,"Is it acceptable for the student's academic advisor to share the student's level of participation in class with the student's classmates if the student's academic advisor asked for the student's permission?","advisor","classmates","participation","student",5
"29",733,"Is it acceptable for the student's classmates to share the student's record of attendance with the department chair if the student is performing poorly?","classmates","department_chair","attendance","student",2
"30",734,"Is it acceptable for the student's TA to share the student's level of participation in class with the student's classmates if requested by the student's classmates?","TA","classmates","participation","student",3
"31",735,"Is it acceptable for the student's academic advisor to share the student's photo with the student's parents if requested by the student's parents?","advisor","parents","photo","student",3
"32",736,"Is it acceptable for the registrar to share the student's email address with the student's TA if the registrar asked for the student's permission?","registrar","TA","email","student",5
"33",737,"Is it acceptable for the university IT staff to share the student's email address with the registrar if the student is performing poorly?","IT_staff","registrar","email","student",2
"34",738,"Is it acceptable for the student's academic advisor to share the student's photo with the department chair if the student's academic advisor let the student know?","advisor","department_chair","photo","student",4
"35",739,"Is it acceptable for the registrar to share the student's grades with the university IT staff if the registrar asked for the student's permission?","registrar","IT_staff","grades","student",5
"36",740,"Is it acceptable for the student's classmates to share the student's level of participation in class with the department chair if requested by the department chair?","classmates","department_chair","participation","student",3
"37",741,"Is it acceptable for the university IT staff to share the student's photo with the student's professor with the requirement of confidentiality?","IT_staff","professor","photo","student",1
"38",742,"Is it acceptable for the student's academic advisor to share the student's email address with the registrar if the student's academic advisor asked for the student's permission?","advisor","registrar","email","student",5
"39",743,"Is it acceptable for the registrar to share the student's address with the student's TA with the requirement of confidentiality?","registrar","TA","address","student",1
"40",744,"Is it acceptable for the student's academic advisor to share the student's photo with the university IT staff if the student's academic advisor asked for the student's permission?","advisor","IT_staff","photo","student",5
"41",745,"Is it acceptable for the registrar to share the student's address with the student's professor if requested by the student's professor?","registrar","professor","address","student",3
"42",746,"Is it acceptable for the student's academic advisor to share the student's name with the student's TA if the student is performing poorly?","advisor","TA","name","student",2
"43",747,"Is it acceptable for the student's TA to share the student's transcript with the department chair if the student is performing poorly?","TA","department_chair","transcript","student",2
"44",748,"Is it acceptable for the student's academic advisor to share the student's grades with the university librarian if requested by the university librarian?","advisor","librarian","grades","student",3
"45",749,"Is it acceptable for the student's TA to share the student's transcript with the university librarian if the student's TA asked for the student's permission?","TA","librarian","transcript","student",5
"46",750,"Is it acceptable for the student's academic advisor to share the student's name with the student's TA if the student's academic advisor asked for the student's permission?","advisor","TA","name","student",5
"47",751,"Is it acceptable for the student's professor to share the student's level of participation in class with the university librarian if the student is performing poorly?","professor","librarian","participation","student",2
